date,home_team,away_team,home_team_pregame_rating,away_team_pregame_rating,home_team_winprob,away_team_winprob,home_team_score,away_team_score,home_team_postgame_rating,away_team_postgame_rating,game_quality_rating,game_importance_rating,game_overall_rating,avg_attendance,team,abbr,wins,losses,otl,game_num,gf,ga
2021-11-27,Arizona Coyotes,Dallas Stars,1443.70215073069,1503.44309617954,0.485985324551462,0.514014675448538,2,3,1441.36652295295,1505.77872395728,12,22,17,11601,Arizona Coyotes,ARI,4,15,2,21,39,77
2021-11-29,Winnipeg Jets,Arizona Coyotes,1504.05213779211,1441.36652295295,0.656710809916102,0.343289190083898,0,1,1500.69656131697,1444.72209942809,11,21,16,12716,Arizona Coyotes,ARI,5,15,2,22,40,77
2021-11-30,Minnesota Wild,Arizona Coyotes,1540.62594693048,1444.72209942809,0.698442061004539,0.301557938995461,5,2,1543.22607599345,1442.12197036512,29,6,17,18542,Arizona Coyotes,ARI,5,16,2,23,42,82
2021-12-03,Arizona Coyotes,Vegas Golden Knights,1442.12197036512,1550.1311813775,0.417285222035112,0.582714777964888,1,7,1437.2455990052,1555.00755273742,33,11,22,11601,Arizona Coyotes,ARI,5,17,2,24,43,89
2021-12-06,Dallas Stars,Arizona Coyotes,1512.41365005311,1437.2455990052,0.672722663860056,0.327277336139944,4,1,1515.26244096192,1434.39680809639,13,13,13,17896,Arizona Coyotes,ARI,5,18,2,25,44,93
2021-12-10,Arizona Coyotes,Florida Panthers,1434.39680809639,1556.01696072284,0.398365848241554,0.601634151758446,1,3,1431.46780108818,1558.94596773105,31,1,16,11601,Arizona Coyotes,ARI,5,19,2,26,45,96
2021-12-11,Arizona Coyotes,Philadelphia Flyers,1431.46780108818,1466.98298553782,0.520833256457909,0.479166743542091,3,5,1427.4763546656,1470.9744319604,2,5,3,11601,Arizona Coyotes,ARI,5,20,2,27,48,101
2021-12-15,Arizona Coyotes,New York Rangers,1427.4763546656,1532.94882749363,0.420840205092116,0.579159794907884,2,3,1425.49774222702,1534.92743993221,16,6,11,11601,Arizona Coyotes,ARI,5,21,2,28,50,104
2021-12-17,Anaheim Ducks,Arizona Coyotes,1482.29128710444,1425.49774222702,0.649024275679807,0.350975724320193,5,6,1478.98504177524,1428.80398755622,2,20,11,13083,Arizona Coyotes,ARI,6,21,2,29,56,109
2021-12-28,San Jose Sharks,Arizona Coyotes,1466.4445866564,1428.80398755622,0.623516226727551,0.376483773272449,8,7,1468.18801720901,1427.06055700361,1,9,5,12573,Arizona Coyotes,ARI,6,21,3,30,63,117
2022-01-04,Arizona Coyotes,Winnipeg Jets,1427.06055700361,1504.48999950954,0.460607667044067,0.539392332955933,1,3,1423.60187349064,1507.94868302251,7,21,14,11601,Arizona Coyotes,ARI,6,22,3,31,64,120
2022-01-06,Arizona Coyotes,Chicago Blackhawks,1423.60187349064,1450.75385112359,0.532833629891954,0.467166370108046,6,4,1427.11755927969,1447.23816533454,0,1,0,11601,Arizona Coyotes,ARI,7,22,3,32,70,124
