,date,ot,home_team,away_team,home_team_abbr,away_team_abbr,home_team_pregame_rating,away_team_pregame_rating,home_team_winprob,away_team_winprob,overtime_prob,home_team_expected_points,away_team_expected_points,home_team_score,away_team_score,home_team_postgame_rating,away_team_postgame_rating,game_quality_rating,game_importance_rating,game_overall_rating,team,abbr,game_num,last_game_date,team_rating,opposing_team_rating,rating_diff,gf,ga,rest_days,game_outcome
2025,2022-03-06,reg,Carolina Hurricanes,Seattle Kraken,CAR,SEA,1585.82870266936,1426.02202019405,0.769899594220169,0.230100405779831,0.209032403607493,1.58789762933156,0.621134774275938,3,2,1586.83665310091,1425.0140697625,42,1,21,Seattle Kraken,SEA,58,2022-03-05,1426.02202019405,1585.82870266936,-159.80668247531003,2,3,1.0,L
2026,2022-03-08,reg,Toronto Maple Leafs,Seattle Kraken,TOR,SEA,1559.40621355807,1425.0140697625,0.742966877026338,0.257033122973662,0.213072788382618,1.54070051827137,0.672372270111252,6,4,1561.20068123775,1423.21960208282,27,0,13,Seattle Kraken,SEA,59,2022-03-06,1425.0140697625,1559.40621355807,-134.39214379557006,4,6,2.0,L
2027,2022-03-10,OT,Ottawa Senators,Seattle Kraken,OTT,SEA,1452.01543992605,1423.21960208282,0.611491333184382,0.388508666815618,0.230466571911272,1.31252092696758,0.917945644943694,4,3,1453.82203065908,1421.41301134979,0,0,0,Seattle Kraken,SEA,60,2022-03-08,1423.21960208282,1452.01543992605,-28.795837843229947,3,4,2.0,OTL
2028,2022-03-12,SO,Montreal Canadiens,Seattle Kraken,MTL,SEA,1428.63778992292,1421.41301134979,0.581616374784428,0.418383625215572,0.234139576769138,1.26119291450397,0.972946662265171,3,4,1425.74863127786,1424.30216999485,0,0,0,Seattle Kraken,SEA,61,2022-03-10,1421.41301134979,1428.63778992292,-7.224778573130152,4,3,2.0,W
2029,2022-03-16,reg,Seattle Kraken,Tampa Bay Lightning,SEA,TBL,1424.30216999485,1573.84818770426,0.360537284463104,0.639462715536896,0.226971608887766,0.866214450295357,1.36075715859241,1,4,1421.12645956627,1577.02389813284,34,1,17,Seattle Kraken,SEA,62,2022-03-12,1424.30216999485,1573.84818770426,-149.54601770941008,1,4,4.0,L
2030,2022-03-19,reg,Seattle Kraken,Detroit Red Wings,SEA,DET,1421.12645956627,1424.3079053143,0.566972425719282,0.433027574280718,0.235925962321283,1.23610729861239,0.99981866370889,4,2,1424.34797817702,1421.08638670355,0,0,0,Seattle Kraken,SEA,63,2022-03-16,1421.12645956627,1424.3079053143,-3.1814457480300007,4,2,3.0,W
2031,2022-03-22,reg,Arizona Coyotes,Seattle Kraken,ARI,SEA,1441.33414059734,1424.34797817702,0.595223848202043,0.404776151797957,0.232472443455394,1.28454699746503,0.947925445990365,2,4,1436.6518267331,1429.03029204126,0,0,0,Seattle Kraken,SEA,64,2022-03-19,1424.34797817702,1441.33414059734,-16.986162420319943,4,2,3.0,W
2032,2022-03-26,reg,Los Angeles Kings,Seattle Kraken,LAK,SEA,1499.74489994987,1429.03029204126,0.667053656689106,0.332946343310894,0.223444924405627,1.40850248389044,0.814942440515182,4,2,1502.13754052833,1426.6376514628,6,21,13,Seattle Kraken,SEA,65,2022-03-22,1429.03029204126,1499.74489994987,-70.71460790860988,2,4,4.0,L
2033,2022-03-28,reg,Los Angeles Kings,Seattle Kraken,LAK,SEA,1502.13754052833,1426.6376514628,0.673143090696792,0.326856909303208,0.222653128130788,1.4190618947011,0.803591233429684,1,6,1494.0455868809,1434.72960511023,6,12,9,Seattle Kraken,SEA,66,2022-03-26,1426.6376514628,1502.13754052833,-75.49988906552994,6,1,2.0,W
2034,2022-03-30,reg,Seattle Kraken,Vegas Golden Knights,SEA,VEG,1434.72960511023,1536.94221354752,0.425420608221716,0.574579391778284,0.234998817288665,0.985866693949769,1.2491321233389,0,3,1430.89801232806,1540.77380632969,21,51,36,Seattle Kraken,SEA,67,2022-03-28,1434.72960511023,1536.94221354752,-102.21260843728987,0,3,2.0,L
2035,2022-04-01,reg,Seattle Kraken,Vegas Golden Knights,SEA,VEG,1430.89801232806,1540.77380632969,0.414674852155373,0.585325147844627,0.233685993806761,0.966131993184908,1.26755400062185,2,5,1427.17676729737,1544.49505136038,21,59,40,Seattle Kraken,SEA,68,2022-03-30,1430.89801232806,1540.77380632969,-109.87579400162986,2,5,2.0,L
2036,2022-04-03,reg,Seattle Kraken,Dallas Stars,SEA,DAL,1427.17676729737,1523.06321968077,0.434345380687186,0.565654619312814,0.236086430534799,1.00223414136345,1.23385228917135,4,1,1432.52076758772,1517.71921939042,12,13,12,Seattle Kraken,SEA,69,2022-04-01,1427.17676729737,1523.06321968077,-95.88645238340018,4,1,2.0,W
2037,2022-04-06,reg,St. Louis Blues,Seattle Kraken,STL,SEA,1540.66965785633,1432.52076758772,0.713077546506356,0.286922453493644,0.217304376739149,1.48850459794162,0.728799778797534,4,1,1543.129876137,1430.06054930705,22,1,11,Seattle Kraken,SEA,70,2022-04-03,1432.52076758772,1540.66965785633,-108.1488902686101,1,4,3.0,L
2038,2022-04-07,reg,Chicago Blackhawks,Seattle Kraken,CHI,SEA,1437.23564338646,1430.06054930705,0.5815467765849,0.4184532234151,0.234148083510188,1.26107357347111,0.973074510039082,0,2,1432.68344213424,1434.61275055927,0,0,0,Seattle Kraken,SEA,71,2022-04-06,1430.06054930705,1437.23564338646,-7.175094079409973,2,0,1.0,W
2039,2022-04-09,reg,Seattle Kraken,Calgary Flames,SEA,CGY,1434.61275055927,1563.21975986455,0.388766932638049,0.611233067361951,0.230498548827324,0.918422200298302,1.31207634852902,1,4,1431.15470039604,1566.67781002778,35,0,17,Seattle Kraken,SEA,72,2022-04-07,1434.61275055927,1563.21975986455,-128.60700930528014,1,4,2.0,L
